pdb,stacking,base_triple_type
ens-608,unstacked,non-triple
ens-609,stacked,non-triple
ens-610,stacked,non-triple
ens-611,unstacked,non-triple
ens-612,stacked,non-triple
ens-613,unstacked,non-triple
ens-614,unstacked,non-triple
ens-615,stacked,non-triple
ens-616,unstacked,non-triple
ens-617,unstacked,non-triple
ens-618,stacked,non-triple
ens-619,unstacked,non-triple
ens-620,unstacked,non-triple
ens-621,unstacked,non-triple
ens-622,unstacked,non-triple
ens-623,stacked,non-triple
ens-624,stacked,non-triple
ens-625,stacked,non-triple
ens-626,stacked,non-triple
ens-627,stacked,non-triple
ens-628,stacked,triple
ens-629,unstacked,non-triple
ens-630,unstacked,non-triple
ens-631,unstacked,non-triple
ens-632,unstacked,non-triple
ens-633,stacked,non-triple
ens-634,unstacked,non-triple
ens-635,unstacked,non-triple
ens-636,unstacked,non-triple
ens-637,unstacked,non-triple
ens-638,stacked,non-triple
ens-639,unstacked,non-triple
ens-640,unstacked,non-triple
ens-641,unstacked,non-triple
ens-642,unstacked,non-triple
ens-643,stacked,non-triple
ens-644,stacked,non-triple
ens-645,stacked,non-triple
ens-646,stacked,non-triple
ens-647,stacked,non-triple
ens-648,stacked,non-triple
ens-649,stacked,non-triple
ens-650,unstacked,non-triple
ens-651,stacked,non-triple
ens-652,stacked,non-triple
ens-653,unstacked,non-triple
ens-654,unstacked,non-triple
ens-655,unstacked,non-triple
ens-656,unstacked,non-triple
ens-657,unstacked,non-triple
ens-658,unstacked,non-triple
ens-659,unstacked,non-triple
ens-660,unstacked,non-triple
ens-661,unstacked,non-triple
ens-662,unstacked,non-triple
ens-663,unstacked,non-triple
ens-664,unstacked,non-triple
ens-665,unstacked,non-triple
ens-666,unstacked,non-triple
ens-667,stacked,non-triple
ens-668,unstacked,non-triple
ens-669,stacked,non-triple
ens-670,stacked,non-triple
ens-671,unstacked,non-triple
ens-672,stacked,non-triple
ens-673,unstacked,non-triple
ens-674,unstacked,non-triple
ens-675,stacked,non-triple
ens-676,stacked,non-triple
ens-677,unstacked,non-triple
ens-678,stacked,non-triple
ens-679,unstacked,non-triple
ens-680,stacked,non-triple
ens-681,unstacked,non-triple
ens-682,unstacked,non-triple
ens-683,unstacked,non-triple
ens-684,stacked,non-triple
ens-685,stacked,non-triple
ens-686,unstacked,non-triple
ens-687,unstacked,non-triple
ens-688,stacked,non-triple
ens-689,stacked,non-triple
ens-690,stacked,non-triple
ens-691,unstacked,non-triple
ens-692,unstacked,non-triple
ens-693,unstacked,non-triple
ens-694,stacked,non-triple
ens-695,stacked,non-triple
ens-696,unstacked,non-triple
ens-697,unstacked,non-triple
ens-698,unstacked,non-triple
ens-699,stacked,non-triple
ens-700,stacked,non-triple
ens-701,stacked,non-triple
ens-702,stacked,triple
ens-703,unstacked,non-triple
ens-704,stacked,non-triple
ens-705,unstacked,non-triple
ens-706,unstacked,non-triple
ens-707,unstacked,non-triple
ens-708,unstacked,non-triple
ens-709,stacked,non-triple
ens-710,unstacked,non-triple
ens-711,stacked,non-triple
ens-712,stacked,non-triple
ens-713,unstacked,non-triple
ens-714,stacked,non-triple
ens-715,unstacked,non-triple
ens-716,unstacked,non-triple
ens-717,unstacked,non-triple
ens-718,stacked,non-triple
ens-719,stacked,non-triple
ens-720,unstacked,non-triple
ens-721,unstacked,non-triple
ens-722,unstacked,non-triple
ens-723,stacked,non-triple
ens-724,unstacked,non-triple
ens-725,stacked,non-triple
ens-726,stacked,non-triple
ens-727,stacked,non-triple
ens-728,stacked,non-triple
ens-729,stacked,non-triple
ens-730,unstacked,non-triple
ens-731,stacked,non-triple
ens-732,stacked,non-triple
ens-733,stacked,non-triple
ens-734,unstacked,non-triple
ens-735,stacked,non-triple
ens-736,unstacked,non-triple
ens-737,unstacked,non-triple
ens-738,unstacked,non-triple
ens-739,unstacked,non-triple
ens-740,unstacked,non-triple
ens-741,unstacked,non-triple
ens-742,unstacked,non-triple
ens-743,unstacked,non-triple
ens-744,unstacked,non-triple
ens-745,stacked,non-triple
ens-746,stacked,non-triple
ens-747,stacked,non-triple
ens-748,unstacked,non-triple
ens-749,unstacked,non-triple
ens-750,unstacked,non-triple
ens-751,unstacked,non-triple
ens-752,stacked,non-triple
ens-753,stacked,triple
ens-754,stacked,non-triple
ens-755,unstacked,non-triple
ens-756,unstacked,non-triple
ens-757,unstacked,non-triple
ens-758,stacked,non-triple
ens-759,stacked,non-triple
ens-760,unstacked,non-triple
ens-761,unstacked,non-triple
ens-762,stacked,non-triple
ens-763,stacked,triple
ens-764,unstacked,non-triple
ens-765,unstacked,non-triple
ens-766,stacked,non-triple
ens-767,unstacked,non-triple
ens-768,unstacked,non-triple
ens-769,stacked,non-triple
ens-770,stacked,non-triple
ens-771,unstacked,non-triple
ens-772,unstacked,non-triple
ens-773,stacked,non-triple
ens-774,unstacked,non-triple
ens-775,stacked,non-triple
ens-776,unstacked,non-triple
ens-777,stacked,non-triple
ens-778,unstacked,non-triple
ens-779,unstacked,non-triple
ens-780,unstacked,non-triple
ens-781,stacked,non-triple
ens-782,stacked,non-triple
ens-783,unstacked,non-triple
ens-784,unstacked,non-triple
ens-785,stacked,non-triple
ens-786,stacked,non-triple
ens-787,unstacked,non-triple
ens-788,stacked,non-triple
ens-789,stacked,non-triple
ens-790,unstacked,non-triple
ens-791,unstacked,non-triple
ens-792,stacked,non-triple
ens-793,stacked,non-triple
ens-794,unstacked,non-triple
ens-795,stacked,non-triple
ens-796,unstacked,non-triple
ens-797,unstacked,non-triple
ens-798,unstacked,non-triple
ens-799,unstacked,non-triple
ens-800,unstacked,non-triple
ens-801,unstacked,non-triple
ens-802,stacked,non-triple
ens-803,unstacked,non-triple
ens-804,unstacked,non-triple
ens-805,unstacked,non-triple
ens-806,unstacked,non-triple
ens-807,unstacked,non-triple
ens-808,unstacked,non-triple
ens-809,stacked,non-triple
ens-810,unstacked,non-triple
ens-811,stacked,non-triple
ens-812,stacked,non-triple
ens-813,stacked,non-triple
ens-814,unstacked,non-triple
ens-815,unstacked,non-triple
ens-816,stacked,non-triple
ens-817,stacked,non-triple
ens-818,unstacked,non-triple
ens-819,stacked,non-triple
ens-820,unstacked,non-triple
ens-821,stacked,non-triple
ens-822,unstacked,non-triple
ens-823,unstacked,non-triple
ens-824,unstacked,non-triple
ens-825,unstacked,non-triple
ens-826,unstacked,non-triple
ens-827,stacked,non-triple
ens-828,stacked,non-triple
ens-829,unstacked,non-triple
ens-830,unstacked,non-triple
ens-831,unstacked,non-triple
ens-832,stacked,non-triple
ens-833,stacked,non-triple
ens-834,unstacked,non-triple
ens-835,unstacked,non-triple
ens-836,stacked,non-triple
ens-837,unstacked,non-triple
ens-838,stacked,triple
ens-839,stacked,non-triple
ens-840,stacked,non-triple
ens-841,stacked,non-triple
ens-842,stacked,non-triple
ens-843,stacked,non-triple
ens-844,unstacked,non-triple
ens-845,stacked,non-triple
ens-846,unstacked,non-triple
ens-847,unstacked,non-triple
ens-848,unstacked,non-triple
ens-849,unstacked,non-triple
ens-850,stacked,non-triple
ens-851,unstacked,non-triple
ens-852,unstacked,non-triple
ens-853,stacked,non-triple
ens-854,stacked,non-triple
ens-855,unstacked,non-triple
ens-856,unstacked,non-triple
ens-857,unstacked,non-triple
ens-858,unstacked,non-triple
ens-859,stacked,non-triple
ens-860,stacked,non-triple
ens-861,stacked,non-triple
ens-862,stacked,non-triple
ens-863,stacked,non-triple
ens-864,stacked,triple
ens-865,unstacked,non-triple
ens-866,unstacked,non-triple
ens-867,stacked,non-triple
ens-868,unstacked,non-triple
ens-869,unstacked,non-triple
ens-870,stacked,non-triple
ens-871,stacked,non-triple
ens-872,unstacked,non-triple
ens-873,unstacked,non-triple
ens-874,stacked,non-triple
ens-875,unstacked,non-triple
ens-876,unstacked,non-triple
ens-877,unstacked,non-triple
ens-878,stacked,non-triple
ens-879,unstacked,non-triple
ens-880,unstacked,non-triple
ens-881,unstacked,non-triple
ens-882,unstacked,non-triple
ens-883,stacked,non-triple
ens-884,unstacked,non-triple
ens-885,unstacked,non-triple
ens-886,unstacked,non-triple
ens-887,unstacked,non-triple
ens-888,stacked,non-triple
ens-889,stacked,non-triple
ens-890,stacked,non-triple
ens-891,stacked,non-triple
ens-892,unstacked,non-triple
ens-893,unstacked,non-triple
ens-894,unstacked,non-triple
ens-895,stacked,triple
ens-896,unstacked,non-triple
ens-897,stacked,non-triple
ens-898,unstacked,non-triple
ens-899,unstacked,non-triple
ens-900,unstacked,non-triple
ens-901,unstacked,non-triple
ens-902,unstacked,non-triple
ens-903,unstacked,non-triple
ens-904,stacked,non-triple
ens-905,stacked,non-triple
ens-906,unstacked,non-triple
ens-907,unstacked,non-triple
ens-908,stacked,non-triple
ens-909,unstacked,non-triple
ens-910,unstacked,non-triple
ens-911,unstacked,non-triple
ens-912,unstacked,non-triple
ens-913,stacked,non-triple
ens-914,stacked,triple
ens-915,stacked,non-triple
ens-916,stacked,non-triple
ens-917,stacked,non-triple
ens-918,unstacked,non-triple
ens-919,unstacked,non-triple
ens-920,unstacked,non-triple
ens-921,stacked,non-triple
ens-922,unstacked,non-triple
