pdb,stacking,base_triple_type
ens-736,stacked,non-triple
ens-737,stacked,non-triple
ens-738,stacked,non-triple
ens-739,stacked,non-triple
ens-740,stacked,non-triple
ens-741,stacked,non-triple
ens-742,stacked,non-triple
ens-743,stacked,non-triple
ens-744,stacked,non-triple
ens-745,stacked,non-triple
ens-746,stacked,non-triple
ens-747,stacked,non-triple
ens-748,stacked,non-triple
ens-749,stacked,non-triple
ens-750,stacked,non-triple
ens-751,stacked,non-triple
ens-752,stacked,non-triple
ens-753,stacked,non-triple
ens-754,stacked,non-triple
ens-755,stacked,non-triple
ens-756,stacked,non-triple
ens-757,stacked,non-triple
ens-758,stacked,non-triple
ens-759,stacked,non-triple
ens-760,stacked,non-triple
ens-761,stacked,non-triple
ens-762,stacked,non-triple
ens-763,stacked,non-triple
ens-764,stacked,non-triple
ens-765,stacked,non-triple
ens-766,stacked,non-triple
ens-767,stacked,non-triple
ens-768,stacked,non-triple
ens-769,stacked,non-triple
ens-770,stacked,non-triple
ens-771,stacked,non-triple
ens-772,stacked,non-triple
ens-773,stacked,non-triple
ens-774,stacked,non-triple
ens-775,stacked,non-triple
ens-776,stacked,non-triple
ens-777,stacked,non-triple
ens-778,stacked,non-triple
ens-779,stacked,non-triple
ens-780,stacked,non-triple
ens-781,stacked,non-triple
ens-782,stacked,non-triple
ens-783,stacked,non-triple
ens-784,stacked,non-triple
ens-785,stacked,non-triple
ens-786,stacked,non-triple
ens-787,stacked,non-triple
ens-788,stacked,non-triple
ens-789,stacked,non-triple
ens-790,stacked,non-triple
ens-791,stacked,non-triple
ens-792,stacked,non-triple
ens-793,stacked,non-triple
ens-794,stacked,non-triple
ens-795,stacked,non-triple
ens-796,stacked,non-triple
ens-797,stacked,non-triple
ens-798,stacked,non-triple
ens-799,stacked,non-triple
ens-800,stacked,non-triple
ens-801,stacked,non-triple
ens-802,stacked,non-triple
ens-803,stacked,non-triple
ens-804,stacked,non-triple
ens-805,stacked,non-triple
ens-806,stacked,non-triple
ens-807,stacked,non-triple
ens-808,stacked,non-triple
ens-809,stacked,non-triple
ens-810,stacked,non-triple
ens-811,stacked,non-triple
ens-812,stacked,non-triple
ens-813,stacked,non-triple
ens-814,stacked,non-triple
ens-815,stacked,non-triple
ens-816,stacked,non-triple
ens-817,stacked,non-triple
ens-818,stacked,non-triple
ens-819,stacked,non-triple
ens-820,stacked,non-triple
ens-821,stacked,non-triple
ens-822,stacked,non-triple
ens-823,stacked,non-triple
ens-824,stacked,non-triple
ens-825,stacked,non-triple
ens-826,stacked,non-triple
ens-827,stacked,non-triple
ens-828,stacked,non-triple
ens-829,stacked,non-triple
ens-830,stacked,non-triple
ens-831,stacked,non-triple
ens-832,stacked,non-triple
ens-833,stacked,non-triple
ens-834,stacked,non-triple
ens-835,stacked,non-triple
ens-836,stacked,non-triple
ens-837,stacked,non-triple
ens-838,stacked,non-triple
ens-839,stacked,non-triple
ens-840,stacked,non-triple
ens-841,stacked,non-triple
ens-842,stacked,non-triple
ens-843,stacked,non-triple
ens-844,stacked,non-triple
ens-845,stacked,non-triple
ens-846,stacked,non-triple
ens-847,stacked,non-triple
ens-848,stacked,non-triple
ens-849,stacked,non-triple
ens-850,stacked,non-triple
ens-851,stacked,non-triple
ens-852,stacked,non-triple
ens-853,stacked,non-triple
ens-854,stacked,non-triple
ens-855,stacked,non-triple
ens-856,stacked,non-triple
ens-857,stacked,non-triple
ens-858,stacked,non-triple
ens-859,stacked,non-triple
ens-860,stacked,non-triple
ens-861,stacked,non-triple
ens-862,stacked,non-triple
ens-863,stacked,non-triple
ens-864,stacked,non-triple
ens-865,stacked,non-triple
ens-866,stacked,non-triple
ens-867,stacked,non-triple
ens-868,stacked,non-triple
ens-869,stacked,non-triple
ens-870,stacked,non-triple
ens-871,stacked,non-triple
ens-872,stacked,non-triple
ens-873,stacked,non-triple
ens-874,stacked,non-triple
ens-875,stacked,non-triple
ens-876,stacked,non-triple
ens-877,stacked,non-triple
ens-878,stacked,non-triple
ens-879,stacked,non-triple
ens-880,stacked,non-triple
ens-881,stacked,non-triple
ens-882,stacked,non-triple
ens-883,stacked,non-triple
